Name,الأسم,Type,نوع التصنيف,Subtype,نوع التصنيف الفرعي,Block,X Longitude,Y Latitude,Location
KINGDOM READYMIX COMPANY,المملكة للخرسانة,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,117.0,50.6640238,26.20393235,"26.20393235, 50.6640238"
BAHRAIN FERRO ALLOYS - BAFA,شركة بحرين فيرو ألويس - بافا,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,117.0,50.6706859,26.209378,"26.209378, 50.6706859"
BAHRAIN STEEL COMPANY,شركة حديد البحرين,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,117.0,50.67998375,26.20155262,"26.20155262, 50.67998375"
UNIVERSAL ROLLING COMPANY – UNIROL,شركة يونيفرسال رولنج,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,117.0,50.66830751,26.21077942,"26.21077942, 50.66830751"
ARAB SHIPBUILDING AND REPAIR YARD - ASRY,الشركة العربية لبناء وإصلاح السفن - أسري,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,128.0,50.66947015,26.18630066,"26.18630066, 50.66947015"
BAHRAIN WATER BOTTLING AND BEVERAGES COMPANY,شركة البحرين لتعبئة المياه والمشروبات,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,236.0,50.64312307,26.27422134,"26.27422134, 50.64312307"
BAHRAIN AVIATION FUELING COMPANY - BAFCO,شركة البحرين لتزويد وقود الطائرات,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,241.0,50.63851048,26.25591968,"26.25591968, 50.63851048"
ALMANAMA FOOD STUFF COMPANY,مصنع المنامة للأغذية,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,243.0,50.64571501,26.25694366,"26.25694366, 50.64571501"
"AL BURSHAID WORKSHOP FOR ALL TYPES OF AWNINGS, WROUGHT IRON AND ALUMINUM WORKS",ورشة البورشيد لجميع أنواع المظلات والحديد المطاوع وأعمال الألمنيوم,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,243.0,50.64128677,50.64128677,"50.64128677, 50.64128677"
BAHRAINI AMERICAN FOR MIRROR & GLASSES,البحرينية الامريكية للزجاج والمرايا,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,307.0,50.57974975,26.22633015,"26.22633015, 50.57974975"
AL YOUSIF GLASS & MIRRORS COMPANY,شركة اليوسف للزجاج والمرايا,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,309.0,50.58012447,26.22643452,"26.22643452, 50.58012447"
AWAL PLASTICS,أوال بلاستك,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,312.0,50.57067894,26.22260898,"26.22260898, 50.57067894"
DELMON POULTRY COMPANY - FEEDMILL FACTORY,شركة دلمون للدواجن - مصنع العلف,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,342.0,50.609761,26.204235,"26.204235, 50.609761"
BAHRAIN FIBERGLASS,البحرين للفيبر جلاس,INDUSTRIES,الصناعات,INDUSTRIAL COMPLEXES,المنشـآت الصناعية,343.0,50.59546887,26.19647306,"26.19647306, 50.59546887"
